source_id,zotero_key,citation,theme,study_type,population_or_material,comparator,outcomes,key_findings,limitations,locator,representation,appraisal_status
Cox_2017_QHKPBERQ,QHKPBERQ,"Cox P.B.W., den Ouden A.M., Theunissen M., Montenij L.J., Kessels A.G.H., Lancé M.D. et al. Accuracy, Precision, and Trending Ability of Electrical Cardiometry Cardiac Index versus Continuous Pulmonary Artery Thermodilution Method: A Prospective, Observational Study. 2017. BioMed Research International. 2017. 1-8. doi:10.1155/2017/2635151.",Валидизация сердечного выброса у взрослых,проспективное наблюдательное сравнение,50 пациентов кардиохирургического профиля ASA III–IV,электрическая кардиометрия против непрерывной термодилюции PAC,"точность, прецизионность и trending","Процентная ошибка превышала 30% во всех временных точках, а способность отслеживать изменения была недостаточной.",Результат не переносится автоматически на стабильных пациентов и другие версии алгоритма.,PDF p. 1,pdf,core_extracted
Hsu_2017_CWDA42JG,CWDA42JG,"Hsu K.H., Wu T.W., Wu I.H., Lai M.Y., Hsu S.Y., Huang H.W. et al. Electrical Cardiometry to Monitor Cardiac Output in Preterm Infants with Patent Ductus Arteriosus: A Comparison with Echocardiography. 2017. Neonatology. 112(3). 231-237. doi:10.1159/000475774.",Педиатрическая и неонатальная валидизация,сравнительное исследование,"36 недоношенных детей с открытым артериальным протоком, 105 пар",электрическая кардиометрия против эхокардиографии,CO и процентная ошибка,"Процентная ошибка 28,6% была близка к принятому ориентиру, но точность ухудшалась при высоком CO и высокочастотной вентиляции.",Специфическая неонатальная популяция и зависимость от физиологического состояния.,Zotero metadata abstract,pdf,core_extracted
Narula_2017_WABWSWPT,WABWSWPT,"Narula J., Chauhan S., Ramakrishnan S., Gupta S.K. Electrical Cardiometry: A Reliable Solution to Cardiac Output Estimation in Children With Structural Heart Disease. 2017. Journal of Cardiothoracic and Vascular Anesthesia. 31(3). 912-917. doi:10.1053/j.jvca.2016.12.009.",Педиатрическая и неонатальная валидизация,сравнительное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Wang_2018_KINHB88N,KINHB88N,"Wang D.J., Lee I.S., Chou A.H., Chen C.Y., Ting P.C., Teng Y.H. et al. Non-invasive cardiac output measurement with electrical velocimetry in patients undergoing liver transplantation: comparison of an invasive method with pulmonary thermodilution. 2018. BMC Anesthesiology. 18(1). doi:10.1186/s12871-018-0600-y.",Валидизация сердечного выброса у взрослых,сравнительное/валидационное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Altamirano_Diaz_2018_9NHAZ7IC,9NHAZ7IC,"Altamirano-Diaz L., Welisch E., Dempsey A.A., Park T.S., Grattan M., Norozi K. Non-invasive measurement of cardiac output in children with repaired coarctation of the aorta using electrical cardiometry compared to transthoracic Doppler echocardiography. 2018. Physiological Measurement. 39(5). 055003. doi:10.1088/1361-6579/aac02b.",Педиатрическая и неонатальная валидизация,сравнительное исследование,28 детей после коррекции коарктации аорты и 27 контролей,электрическая кардиометрия против допплер-эхокардиографии,CO и процентная ошибка,"В контроле MPE была 28,1%, в объединенной группе — 44,2%; аномально высокая скорость в LVOT существенно влияла на сравнение.",Референтная эхокардиография чувствительна к измерению LVOT; результаты зависят от анатомии.,Zotero metadata abstract,pdf,core_extracted
Chong_2018_BUCR9UBG,BUCR9UBG,"Chong M.A., Wang Y., Berbenetz N.M., McConachie I. Does goal-directed haemodynamic and fluid therapy improve peri-operative outcomes? 2018. European Journal of Anaesthesiology. 35(7). 469-483. doi:10.1097/EJA.0000000000000778.",Валидизация сердечного выброса у взрослых,сравнительное/валидационное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Bein_2019_2PSQNEHA,2PSQNEHA,"Bein B., Renner J. Best practice & research clinical anaesthesiology: Advances in haemodynamic monitoring for the perioperative patient. 2019. Best Practice & Research Clinical Anaesthesiology. 33(2). 139-153. doi:10.1016/j.bpa.2019.05.008.",Клинический контекст мониторинга,рекомендации/обзор,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Sanders_2019_8JWJRAVJ,8JWJRAVJ,"Sanders M., Servaas S., Slagt C. Accuracy and precision of non-invasive cardiac output monitoring by electrical cardiometry: a systematic review and meta-analysis. 2019. Journal of Clinical Monitoring and Computing. 34(3). 433-460. doi:10.1007/s10877-019-00330-y.",Клинический контекст мониторинга,систематический обзор и метаанализ электрической кардиометрии,13 взрослых исследований (620 пациентов) и 11 педиатрических (603 пациента),электрическая кардиометрия против референтных методов CO,"bias, limits of agreement, MPE и гетерогенность","Смещение в среднем было небольшим, но широкие пределы согласия, MPE 48% у взрослых и 42% у детей и высокая гетерогенность не поддерживают замену референтных методов для абсолютного CO.","Различались популяции, референтные методы, единицы анализа и условия измерения; I² составил 93% и 86%.","PDF pp. 1, 7, 10",pdf,core_extracted
Feng_2020_TTBLNRTL,TTBLNRTL,"Feng S.M., Liu J. Electrical velocimetry has limited accuracy and precision and moderate trending ability compared with transthoracic echocardiography for cardiac output measurement during cesarean delivery. 2020. Medicine. 99(34). e21914. doi:10.1097/MD.0000000000021914.",Валидизация сердечного выброса у взрослых,проспективное наблюдательное сравнение,"20 рожениц при кесаревом сечении, 124 пары",электрическая велосиметрия против трансторакальной эхокардиографии,"CO, SV, процентная ошибка и trending","Процентная ошибка была 62% для CO и 60% для SV, но concordance trending достигала 85% и 82%, то есть динамика была умеренно воспроизводима при плохой взаимозаменяемости абсолютных значений.",Малая специфическая выборка и эхокардиография как несовершенный референтный метод.,PDF p. 1,pdf,core_extracted
McDonagh_2021_IAEHUPF7,IAEHUPF7,"McDonagh T.A., Metra M., Adamo M., Gardner R.S., Baumbach A., Böhm M. et al. 2021 ESC Guidelines for the diagnosis and treatment of acute and chronic heart failure. 2021. European Heart Journal. 42(36). 3599-3726. doi:10.1093/eurheartj/ehab368.",Клинический контекст мониторинга,клинические рекомендации ESC,пациенты с острой и хронической сердечной недостаточностью,диагностические категории по LVEF,"HFrEF, HFmrEF и HFpEF","Категории определены порогами LVEF: ≤40%, 41–49% и ≥50%; для HFpEF требуются дополнительные объективные признаки.","Рекомендации задают клинический контекст, но не валидируют ИКГ как метод определения LVEF.","PDF p. 15, Table 3",pdf,core_extracted
de_Keijzer_2021_RGRIR2DG,RGRIR2DG,"de Keijzer I.N., Scheeren T.W.L. Perioperative Hemodynamic Monitoring. 2021. Anesthesiology Clinics. 39(3). 441-456. doi:10.1016/j.anclin.2021.03.007.",Клинический контекст мониторинга,тематический клинический обзор,периоперационные пациенты,"инвазивные, малоинвазивные и неинвазивные методы","давление, преднагрузка, SV и CO","CO определяется произведением SV и ЧСС; среди неинвазивных подходов рассматриваются биоимпеданс, биореактанс, volume clamp и pulse transit time.","Обзор описывает методы, но не доказывает их эквивалентность в каждой клинической популяции.",PDF pp. 5–6,pdf,core_extracted
Savarese_2022_KRUICEIX,KRUICEIX,"Savarese G., Becher P.M., Lund L.H., Seferovic P., Rosano G.M.C., Coats A.J.S. Global burden of heart failure: a comprehensive and updated review of epidemiology. 2022. Cardiovascular Research. 118(17). 3272-3287. doi:10.1093/cvr/cvac013.",Теория и методология ИКГ,обновленный эпидемиологический обзор,мировая популяция пациентов с сердечной недостаточностью,географические и фенотипические различия,распространенность и бремя сердечной недостаточности,В обзоре сообщается о более чем 64 млн пациентов с сердечной недостаточностью во всем мире и подчеркиваются пробелы данных между регионами.,Полный текст в корпусе отсутствует; использованы библиографические данные и аннотация Zotero.,Zotero metadata abstract,metadata,core_extracted
Mensah_2023_W6SE58XU,W6SE58XU,"Mensah G.A., Fuster V., Murray C.J.L., Roth G.A., Mensah G.A., Abate Y.H. et al. Global Burden of Cardiovascular Diseases and Risks, 1990-2022. 2023. Journal of the American College of Cardiology. 82(25). 2350-2473. doi:10.1016/j.jacc.2023.11.007.",Валидизация сердечного выброса у взрослых,систематический анализ глобального бремени болезней,204 страны и территории; оценки GBD 1990–2022,временные и географические сопоставления,"распространенность, смертность и DALY при сердечно-сосудистых заболеваниях",Сердечно-сосудистые заболевания сохраняют высокое глобальное бремя; возраст-стандартизованная смертность существенно различается между территориями.,Модельные оценки GBD зависят от полноты первичных данных и не характеризуют диагностическую точность гемодинамического мониторинга.,PDF p. 2,pdf,core_extracted
Greiwe_2024_GGUPHZI9,GGUPHZI9,"Greiwe G., Saad R., Hapfelmeier A., Neumann N., Tariparast P., Saugel B. et al. Electrical cardiometry for non-invasive cardiac output monitoring: a method comparison study in patients after coronary artery bypass graft surgery. 2024. Journal of Clinical Monitoring and Computing. 39(2). 371-376. doi:10.1007/s10877-024-01246-y.",Клинический контекст мониторинга,проспективное сравнительное исследование,"41 пациент после CABG, 157 пар измерений",электрическая кардиометрия против термодилюции,процентная ошибка и concordance trending,Процентная ошибка 47% (95% ДИ 37–56%) и concordance 48% свидетельствовали о неприемлемом согласии и слабом trending.,"Послеоперационная CABG-популяция, один центр и конкретное устройство.",PDF p. 1,pdf,core_extracted
Monnet_2025_ZNJC9Q47,ZNJC9Q47,"Monnet X., Messina A., Greco M., Bakker J., Aissaoui N., Cecconi M. et al. ESICM guidelines on circulatory shock and hemodynamic monitoring 2025. 2025. Intensive Care Medicine. 51(11). 1971-2012. doi:10.1007/s00134-025-08137-z.",Клинический контекст мониторинга,"рекомендации ESICM, методология GRADE",взрослые пациенты с циркуляторным шоком,варианты гемодинамического мониторинга,"CO/SV, тип шока и ответ на терапию",CO и/или SV рекомендуется мониторировать при отсутствии ответа на начальную терапию; эхокардиография рассматривается как метод визуализации первой линии для определения типа шока.,Рекомендация относится к шоку и не означает предпочтения конкретной неинвазивной технологии.,PDF p. 1,pdf,core_extracted
